architecture,energy_per_encoded_bit,energy_per_operation,experiment_id,frequency_hz,functional_failure_reasons,functional_pass,input_pattern,level,load_ff,model,output_swing,pavg,pdp,raw_log,simulation_file,status,temp,temperature_c,tfall,tnom,tpd,tphl,tplh,transistor_count,trise,validation_errors,vdd,voh,vol
FSGDI,,,EXP-XOR-FSGDI-TM20,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.1999789868264439,1.89679664902e-07,4.038853155566693e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-TM20.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-TM20.cir,Validated,-20.0,-20.0,6.35220610084e-11,27.0,2.1293021356049998e-11,2.12185347746e-11,2.13675079375e-11,6,6.38554896414e-11,[],1.2,1.19998633862,7.35179355615e-06
FSGDI,,,EXP-XOR-FSGDI-T85,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.199733089796567,3.26034459581e-07,1.2006602424893616e-17,ltspice/xor/fsgdi/EXP-XOR-FSGDI-T85.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-T85.cir,Validated,85.0,85.0,9.04621207015e-11,27.0,3.6826176105199996e-11,3.27208370935e-11,4.09315151169e-11,6,1.55039808015e-10,[],1.2,1.1998052597,7.2169903433e-05
FSGDI,,,EXP-XOR-FSGDI-L01,125000000.0,[],True,two-input exhaustive periodic,XOR,1.0,PTM-65nm-beta-2006,1.1999251649433444,2.09508231954e-08,1.282078193127499e-19,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L01.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L01.cir,Validated,27.0,27.0,1.96561841302e-11,27.0,6.11946452495e-12,6.54239023289e-12,5.69653881701e-12,6,2.33752664469e-11,[],1.2,1.1999464035,2.12385566556e-05
FSGDI,,,EXP-XOR-FSGDI-L05,125000000.0,[],True,two-input exhaustive periodic,XOR,5.0,PTM-65nm-beta-2006,1.19992325863625,1.04598818829e-07,1.5922483250143568e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L05.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L05.cir,Validated,27.0,27.0,4.1946848948e-11,27.0,1.52224312171e-11,1.51303484281e-11,1.53145140061e-11,6,5.47445059172e-11,[],1.2,1.19994521141,2.19527737499e-05
FSGDI,,,EXP-XOR-FSGDI-L20,125000000.0,[],True,two-input exhaustive periodic,XOR,20.0,PTM-65nm-beta-2006,1.1999225175443835,5.237935357e-07,2.7186485339071336e-17,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L20.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-L20.cir,Validated,27.0,27.0,1.38207371705e-10,27.0,5.1903056235199995e-11,4.82498597441e-11,5.55562527263e-11,6,1.86906095132e-10,[],1.2,1.19994473457,2.22170256166e-05
FSGDI,,,EXP-XOR-FSGDI-F025,25000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.1999227281076692,6.50974053182e-08,1.768796565758012e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-F025.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-F025.cir,Validated,27.0,27.0,7.31429094445e-11,27.0,2.717153713135e-11,2.59501878925e-11,2.83928863702e-11,6,9.77729730831e-11,[],1.2,1.19994485378,2.21256723307e-05
FSGDI,,,EXP-XOR-FSGDI-F200,200000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.1999228849016284,3.77871951107e-07,1.0267372177946056e-17,ltspice/xor/fsgdi/EXP-XOR-FSGDI-F200.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-F200.cir,Validated,27.0,27.0,7.31428731405e-11,27.0,2.71715647268e-11,2.59502382162e-11,2.83928912374e-11,6,9.77730378442e-11,[],1.2,1.19994497299,2.20880883717e-05
HYBRID_A,,,EXP-XOR-HYBRID_A-NOM,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.20976347406814,2.14560936685e-06,1.3098839627257604e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-NOM.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-NOM.cir,Validated,27.0,27.0,8.53386083041e-11,27.0,6.104950803085e-11,6.00194261006e-11,6.20795899611e-11,10,1.09951563465e-10,[],1.2,1.20612418652,-0.00363928754814
HYBRID_A,,,EXP-XOR-HYBRID_A-VDD06,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.60967210819973,5.17359562673e-07,8.420004816729708e-17,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD06.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD06.cir,Validated,27.0,27.0,1.90123544979e-10,27.0,1.627495734925e-10,1.46210116069e-10,1.79289030916e-10,10,3.00803722897e-10,[],0.6,0.605453193188,-0.00421891501173
HYBRID_A,,,EXP-XOR-HYBRID_A-VDD08,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.81106054782885,9.24161017693e-07,8.687746751626624e-17,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD08.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD08.cir,Validated,27.0,27.0,1.1653835799e-10,27.0,9.400685146095001e-11,8.74373400699e-11,1.00576362852e-10,10,1.72556050334e-10,[],0.8,0.806504070759,-0.00455647706985
